unannotated_transcript_id	matching_readthrough_transcript_id
ENST00000556931.1	ENST00000505139.1
ENST00000567140.1	ENST00000368276.4
ENST00000567140.1	ENST00000490491.1
ENST00000565805.1	ENST00000320139.5
ENST00000608310.1	ENST00000556710.1
ENST00000600945.1	ENST00000532967.1
ENST00000556601.1	ENST00000505973.1
ENST00000352846.3	ENST00000406625.2
ENST00000439940.2	ENST00000604011.1
ENST00000554112.1	ENST00000504764.1
ENST00000553424.1	ENST00000505052.1
ENST00000554017.1	ENST00000513963.1
ENST00000609637.1	ENST00000354728.4
ENST00000608381.1	ENST00000373414.3
ENST00000609767.1	ENST00000482026.1
ENST00000608383.1	ENST00000305208.5
ENST00000458031.2	ENST00000463721.1
ENST00000539752.1	ENST00000509377.1
ENST00000408996.4	ENST00000282382.4
ENST00000408996.4	ENST00000333314.3
ENST00000609654.1	ENST00000520515.1
ENST00000609383.1	ENST00000518409.1
ENST00000297183.6	ENST00000532219.1
ENST00000543878.1	ENST00000480294.1
ENST00000556581.1	ENST00000503322.1
ENST00000534153.4	ENST00000493662.2
ENST00000437001.2	ENST00000585246.1
ENST00000556132.1	ENST00000481848.2
ENST00000434909.2	ENST00000509504.1
ENST00000162863.6	ENST00000579700.1
ENST00000555673.1	ENST00000413834.1
ENST00000610247.1	ENST00000310771.4
ENST00000591000.1	ENST00000476151.1
ENST00000553390.1	ENST00000554914.1
ENST00000603284.1	ENST00000603837.1
ENST00000541829.1	ENST00000541804.1
ENST00000313339.3	ENST00000566717.2
ENST00000607974.1	ENST00000357072.5
ENST00000375205.2	ENST00000375204.2
ENST00000357054.1	ENST00000375206.2
ENST00000334943.6	ENST00000502978.1
ENST00000556107.1	ENST00000374294.3
ENST00000603152.1	ENST00000447839.2
ENST00000371198.2	ENST00000475252.2
ENST00000555577.1	ENST00000370649.3
ENST00000535773.1	ENST00000527595.1
ENST00000531258.1	ENST00000557395.1
ENST00000419365.2	ENST00000555531.1
ENST00000514361.3	ENST00000412278.2
ENST00000503028.2	ENST00000421355.1
ENST00000537382.1	ENST00000527616.1
ENST00000553473.1	ENST00000540229.1
ENST00000554957.1	ENST00000381541.3
ENST00000541275.1	ENST00000547717.1
ENST00000609999.1	ENST00000448979.3
ENST00000413953.2	ENST00000548184.1
ENST00000556010.1	ENST00000539652.1
ENST00000413530.1	ENST00000547474.1
ENST00000413530.1	ENST00000548729.1
ENST00000416488.1	ENST00000540096.2
ENST00000610205.1	ENST00000335950.4
ENST00000304704.4	ENST00000553909.1
ENST00000556387.1	ENST00000530611.1
ENST00000530222.1	ENST00000528804.1
ENST00000533536.1	ENST00000528804.1
ENST00000532742.1	ENST00000528804.1
ENST00000542227.1	ENST00000552941.1
ENST00000447296.2	ENST00000549987.1
ENST00000441369.1	ENST00000558658.1
ENST00000441369.1	ENST00000559936.1
ENST00000453867.1	ENST00000558965.1
ENST00000542534.2	ENST00000382448.4
ENST00000356316.3	ENST00000549793.1
ENST00000448014.2	ENST00000605794.1
ENST00000535392.1	ENST00000568224.1
ENST00000609618.1	ENST00000320330.6
ENST00000354723.6	ENST00000565342.1
ENST00000355544.5	ENST00000567520.1
ENST00000355544.5	ENST00000568997.1
ENST00000355544.5	ENST00000569959.1
ENST00000395137.2	ENST00000566712.1
ENST00000535210.1	ENST00000569360.1
ENST00000534692.1	ENST00000532838.1
ENST00000518603.1	ENST00000523360.1
ENST00000535512.1	ENST00000573331.1
ENST00000557233.1	ENST00000293826.4
ENST00000519970.1	ENST00000557349.1
ENST00000593105.1	ENST00000412988.2
ENST00000509083.1	ENST00000591482.1
ENST00000438614.1	ENST00000555059.2
ENST00000536149.1	ENST00000495214.1
ENST00000435993.2	ENST00000560629.1
ENST00000490216.2	ENST00000577647.1
ENST00000409963.3	ENST00000590947.1
ENST00000541223.1	ENST00000571730.1
ENST00000452201.2	ENST00000590722.2
ENST00000252675.5	ENST00000592091.1
ENST00000602738.1	ENST00000541595.2
ENST00000556468.1	ENST00000393796.4
ENST00000556468.1	ENST00000428358.1
ENST00000538752.1	ENST00000590798.1
ENST00000542938.1	ENST00000434822.1
ENST00000602424.2	ENST00000444486.3
ENST00000162023.5	ENST00000602804.1
ENST00000512771.3	ENST00000586674.1
ENST00000608404.1	ENST00000555938.1
ENST00000376832.4	ENST00000250366.6
ENST00000222107.4	ENST00000599649.1
ENST00000608843.1	ENST00000196548.5
ENST00000555685.1	ENST00000504988.1
ENST00000608209.1	ENST00000381151.3
ENST00000553851.1	ENST00000376358.3
ENST00000541269.1	ENST00000422081.2
ENST00000539489.1	ENST00000306641.1
